University,CITY,State,ZIP,LATITUDE,LONGITUDE,SAT_AVG_ALL,Total_EMP,Median_income,AVG_income
University of Puerto Rico-Aguadilla,Aguadilla,PR,00604-6150,18.498652,-67.13793,1049,43380,19420,26900
Valdosta State University,Valdosta,GA,31698,30.847402,-83.289282,1059,52630,28840,37420
University of Louisiana at Monroe,Monroe,LA,71209-0000,32.527748,-92.07374,1124,77540,30040,38340
Southeastern Louisiana University,Hammond,LA,70402,30.514652,-90.468676,1085,43180,28980,38450
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,1030,54340,30900,38530
University of North Alabama,Florence,AL,35632-0001,34.806738,-87.681361,1104,54340,30900,38530
North Carolina Wesleyan College,Rocky Mount,NC,27804,36.019665,-77.773982,967,54830,30850,38570
Arkansas State University-Main Campus,Jonesboro,AR,72401,35.842388,-90.679988,1165,56650,30060,38610
Missouri Southern State University,Joplin,MO,64801-1595,37.095155,-94.461689,1085,79940,31490,38610
Ozark Christian College,Joplin,MO,64801,37.103172,-94.510622,1107,79940,31490,38610
University of Southern Mississippi,Hattiesburg,MS,39406-0001,31.32661,-89.331236,1125,62620,28890,38630
William Carey University,Hattiesburg,MS,39401-5499,31.305264,-89.291815,1179,62620,28890,38630
Texas A & M International University,Laredo,TX,78041-1900,27.571172,-99.436043,996,99900,28260,38660
Lee University,Cleveland,TN,37311,35.166019,-84.871399,1176,46100,31110,39030
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,31.178616,-92.414409,1026,60720,31290,39080
The University of Texas at El Paso,El Paso,TX,79968-0691,31.77015,-106.504098,1011,304900,28270,39100
Troy University-Dothan Campus,Dothan,AL,363034419,,,1085,57640,29810,39170
West Virginia University Institute of Technology,Beckley,WV,25801,37.775924,-81.184072,1159,42430,30100,39280
Austin Peay State University,Clarksville,TN,37044,36.533319,-87.354081,1085,86100,31560,39410
University of Oklahoma - Douglass Learning Center,Lawton,OK,735013025,,,1254,43200,30750,39510
Southeast Missouri State University,Cape Girardeau,MO,63701,37.311107,-89.531187,1145,42720,30670,39630
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,63703-4507,37.302453,-89.54587,1105,42720,30670,39630
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.244031,-92.018683,951,30370,31830,39730
University of South Carolina-Sumter,Sumter,SC,29150-2498,33.934698,-80.373459,984,36820,30940,39800
Auburn University,Auburn,AL,36849,32.599378,-85.488258,1282,57650,30310,39860
Centenary College of Louisiana,Shreveport,LA,71134-1188,32.483335,-93.730834,1193,174660,31090,40000
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,32.428465,-93.70561,1080,174660,31090,40000
Ohio State University-Mansfield Campus,Mansfield,OH,44906,40.796536,-82.580194,1359,51050,32680,40010
Angelo State University,San Angelo,TX,76909,31.440914,-100.465051,1003,45880,31120,40060
Western Kentucky University,Bowling Green,KY,42101-1000,36.985035,-86.456828,1136,74160,32690,40240
Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,40.54092,-78.408247,1189,58370,32410,40280
Utah State University,Logan,UT,84322-1400,41.740748,-111.81391,1177,56780,31490,40460
Arizona State University - ASU Colleges at Lake Havasu City,Lake Havasu City,AZ,864036877,,,1219,49340,31090,40470
University of Louisiana at Lafayette,Lafayette,LA,70503,30.212191,-92.020165,1162,196150,32400,40540
Lenoir-Rhyne University,Hickory,NC,28601,35.739968,-81.327598,1070,154110,32480,40610
Midwestern State University,Wichita Falls,TX,76308-2099,33.874809,-98.519386,1034,57020,31400,40690
Texas A&M University-Texarkana,Texarkana,TX,75503,33.490482,-94.103617,1071,55680,33520,40750
Arizona State University at Yuma,Yuma,AZ,853656900,,,1219,61260,29540,40840
Lane College,Jackson,TN,38301-4598,35.627378,-88.806535,845,65310,32840,40970
Union University,Jackson,TN,38305-3697,35.676896,-88.858524,1243,65310,32840,40970
South Dakota School of Mines and Technology,Rapid City,SD,57701-3995,44.075439,-103.205753,1267,65850,32640,41000
Francis Marion University,Florence,SC,29506,34.189777,-79.652854,1003,86490,30500,41070
Austin College,Sherman,TX,75090-4400,33.646345,-96.596331,1255,44890,33040,41400
University of Pittsburgh-Johnstown,Johnstown,PA,15904,40.265957,-78.834163,1279,51040,32140,41410
Gannon University,Erie,PA,16541-0001,42.128403,-80.087166,1119,123760,32110,41480
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,42.119433,-79.983773,1189,123760,32110,41480
Drury University,Springfield,MO,65802-3791,37.219681,-93.286192,1226,206070,33060,41610
Evangel University,Springfield,MO,65802-2125,37.220956,-93.262614,1102,206070,33060,41610
Missouri State University-Springfield,Springfield,MO,65897,37.199258,-93.281281,1164,206070,33060,41610
Evangel University - Assemblies of God Theological Seminary,Springfield,MO,658022131,,,1102,206070,33060,41610
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,40.99599,-75.173905,1018,55120,32800,41620
Mercer University,Macon,GA,31207,32.831787,-83.648295,1285,99690,32750,41650
Wesleyan College,Macon,GA,31210-4462,32.876037,-83.715417,1114,99690,32750,41650
Middle Georgia State University,Macon,GA,31206,32.808092,-83.732058,954,99690,32750,41650
Brescia University,Owensboro,KY,42301-3023,37.769041,-87.111639,1065,52240,34740,41770
Kentucky Wesleyan College,Owensboro,KY,42301,37.744489,-87.119658,1114,52240,34740,41770
The University of Alabama,Tuscaloosa,AL,35487-0166,33.211875,-87.545978,1278,102020,33740,41800
Abilene Christian University,Abilene,TX,79699,32.468943,-99.709797,1145,64300,32360,41810
Hardin-Simmons University,Abilene,TX,79698-0001,32.476434,-99.73564,1074,64300,32360,41810
McMurry University,Abilene,TX,79697,32.429776,-99.748682,1015,64300,32360,41810
New Mexico State University-Dona Ana,Las Cruces,NM,88011,32.354486,-106.737172,1043,70430,30190,41860
New Mexico State University-Main Campus,Las Cruces,NM,88003-8001,32.281568,-106.752069,1043,70430,30190,41860
Indiana State University,Terre Haute,IN,47809,39.469073,-87.407846,1013,66770,32930,41970
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,39.483602,-87.326749,1369,66770,32930,41970
Columbus State University,Columbus,GA,31907-5645,32.50096,-84.94106,1011,114920,31460,41980
Eastern Mennonite University,Harrisonburg,VA,22802-2462,38.471134,-78.880326,1102,63830,33500,42010
James Madison University,Harrisonburg,VA,22807,38.436311,-78.870484,1194,63830,33500,42010
Youngstown State University,Youngstown,OH,44555-0001,41.104928,-80.64659,1104,214000,32690,42070
Florida Southern College,Lakeland,FL,33801-5698,28.032443,-81.948203,1218,219840,33210,42090
Southeastern University,Lakeland,FL,33801-6034,28.029733,-81.918382,1063,219840,33210,42090
Florida Polytechnic University,Lakeland,FL,33805-8531,28.150149,-81.845995,1272,219840,33210,42090
Manhattan Christian College,Manhattan,KS,66502-4801,39.184806,-96.579383,1079,37700,31960,42140
College of Coastal Georgia,Brunswick,GA,31520-3644,31.182745,-81.485973,937,41950,30880,42280
Marshall University,Huntington,WV,25755,38.422482,-82.428964,1099,130750,32770,42290
Wheeling Jesuit University,Wheeling,WV,26003,40.070873,-80.690804,1063,61610,32510,42480
The University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,1185,174380,33120,42490
Shorter University,Rome,GA,30165,34.257543,-85.196529,1017,37570,31740,42500
Shorter University-College of Adult & Professional Programs,Rome,GA,30165,34.257543,-85.196529,1017,37570,31740,42500
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,935,164030,33670,42510
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,1083,164030,33670,42510
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,1031,164030,33670,42510
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,1085,164030,33670,42510
Troy University-Montgomery Campus,Montgomery,AL,361034419,,,1085,164030,33670,42510
The University of Montana,Missoula,MT,59812,46.859312,-113.982912,1165,60130,33470,42580
The University of Montana - Missoula College,Missoula,MT,59802,,,1165,60130,33470,42580
Morningside College,Sioux City,IA,51106-1751,42.473891,-96.359464,1125,84330,35150,42630
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,40.796186,-81.404053,1085,169950,33610,42650
Kent State University at Stark,Canton,OH,44720-7599,40.868568,-81.43731,1142,169950,33610,42650
Malone University,Canton,OH,44709-3308,40.825662,-81.376863,1082,169950,33610,42650
LeTourneau University,Longview,TX,75602,32.46632,-94.726394,1190,91920,33740,42730
East Tennessee State University,Johnson City,TN,37614,36.301643,-82.366954,1122,77020,31980,42740
Fayetteville State University,Fayetteville,NC,28301-4298,35.073641,-78.891696,955,128940,33620,42750
Methodist University,Fayetteville,NC,28311-1420,35.135058,-78.874426,1050,128940,33620,42750
Haskell Indian Nations University,Lawrence,KS,66046-4800,38.938834,-95.232879,950,49350,32670,42780
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,1230,49350,32670,42780
Liberty University,Lynchburg,VA,24515,37.350232,-79.18222,1157,100420,32990,42780
University of Lynchburg,Lynchburg,VA,24501-3113,37.399774,-79.181653,1089,100420,32990,42780
Randolph College,Lynchburg,VA,24503-1555,37.437315,-79.171887,1079,100420,32990,42780
Brenau University,Gainesville,GA,30501-3668,34.303117,-83.821513,1004,87810,32310,42820
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,34.616766,-112.449741,1217,63710,33700,42860
Prescott College,Prescott,AZ,86301,34.5452,-112.477185,1132,63710,33700,42860
Marywood University,Scranton,PA,18509-1598,41.434587,-75.634142,1033,259670,34670,43010
University of Scranton,Scranton,PA,18510-4699,41.406556,-75.656915,1198,259670,34670,43010
University of North Carolina at Asheville,Asheville,NC,28804-8510,35.617068,-82.565392,1191,194660,33400,43070
Mary Baldwin University,Staunton,VA,24401,38.153884,-79.069273,1093,47920,35750,43090
Jackson State University,Jackson,MS,39217,32.296105,-90.207405,990,262380,33140,43180
Millsaps College,Jackson,MS,39210-0001,32.322746,-90.179957,1215,262380,33140,43180
The University of Texas at Tyler,Tyler,TX,75799-6699,32.315772,-95.254337,1160,101740,32880,43180
University of Mississippi Medical Center,Jackson,MS,392164505,,,1225,262380,33140,43180
Lycoming College,Williamsport,PA,17701-5192,41.24666,-77,1105,52030,34480,43260
Southern Illinois University-Carbondale,Carbondale,IL,62901-4512,37.714193,-89.217273,1143,52290,33220,43320
University of North Carolina Wilmington,Wilmington,NC,28403-5963,34.225223,-77.875527,1225,127910,33860,43550
Baylor University,Waco,TX,76798,31.546872,-97.121041,1320,116430,33050,43560
Lubbock Christian University,Lubbock,TX,79407-2099,33.575973,-101.934426,1091,142240,32770,43660
Texas Tech University,Lubbock,TX,79409-5005,33.583448,-101.874783,1176,142240,32770,43660
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,44.798284,-91.501906,1165,82940,35450,43830
University of Evansville,Evansville,IN,47722,37.971549,-87.531644,1187,156570,34710,43840
University of Southern Indiana,Evansville,IN,47712,37.962374,-87.677214,1084,156570,34710,43840
Lewis-Clark State College,Lewiston,ID,83501-2698,46.412199,-117.024875,1013,26660,36670,43860
Converse College,Spartanburg,SC,29302-0006,34.955534,-81.917881,1112,153660,35390,43860
University of South Carolina-Upstate,Spartanburg,SC,29303-4999,34.996403,-81.970583,1010,153660,35390,43860
Spartanburg Methodist College,Spartanburg,SC,29301-5899,34.955117,-81.970863,919,153660,35390,43860
Wofford College,Spartanburg,SC,29303-3663,34.959411,-81.933568,1312,153660,35390,43860
Purdue University - Purdue Polytechnic Columbus,Columbus,IN,47203,,,1293,50850,36150,43880
The University of Tennessee-Chattanooga,Chattanooga,TN,37403-2598,35.047519,-85.300247,1164,246180,34420,43890
Maine College of Health Professions,Lewiston,ME,4240,44.100458,-70.21732,920,48540,35210,43960
Bob Jones University,Greenville,SC,29614-0001,34.874016,-82.365838,1146,413300,34420,43960
Furman,Greenville,SC,29613-6162,34.924676,-82.440458,1319,413300,34420,43960
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,27.713723,-97.32395,983,187540,34120,43960
Wilson College,Chambersburg,PA,17201-1285,39.949659,-77.650712,1032,57840,36870,44000
Baker University School of Nursing,Topeka,KS,666041353,,,1137,109840,36700,44010
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,37.229012,-80.423675,1284,70060,34680,44040
